iter	Passed	Remaining
0	26	26782
1	58	29181
2	71	23709
3	92	22932
4	105	21013
5	117	19511
6	129	18376
7	136	16899
8	151	16661
9	162	16090
10	173	15618
11	183	15104
12	190	14465
13	196	13842
14	203	13331
15	214	13161
16	220	12753
17	227	12416
18	234	12092
19	240	11796
20	247	11544
21	253	11274
22	260	11074
23	267	10897
24	274	10718
25	281	10526
26	286	10332
27	293	10185
28	299	10023
29	307	9945
30	315	9851
31	322	9764
32	329	9651
33	335	9535
34	343	9479
35	350	9372
36	358	9337
37	366	9268
38	373	9209
39	379	9118
40	386	9042
41	392	8954
42	398	8875
43	407	8860
44	413	8783
45	421	8740
46	427	8667
47	433	8599
48	440	8544
49	446	8475
50	452	8428
51	459	8381
52	465	8316
53	474	8309
54	480	8263
55	488	8233
56	495	8191
57	503	8172
58	509	8131
59	514	8066
60	520	8016
61	526	7960
62	531	7911
63	539	7889
64	545	7844
65	553	7827
66	559	7784
67	566	7758
68	572	7720
69	578	7681
70	585	7658
71	597	7695
72	605	7683
73	612	7660
74	621	7659
75	627	7628
76	634	7604
77	640	7569
78	645	7524
79	651	7490
80	655	7442
81	660	7398
82	667	7370
83	672	7331
84	677	7289
85	683	7259
86	689	7231
87	695	7204
88	702	7189
89	707	7151
90	715	7146
91	720	7108
92	725	7071
93	731	7048
94	736	7016
95	742	6987
96	747	6961
97	752	6928
98	757	6894
99	764	6876
100	769	6846
101	773	6813
102	781	6801
103	790	6812
104	797	6796
105	802	6764
106	807	6741
107	813	6722
108	818	6691
109	823	6661
110	830	6647
111	834	6619
112	840	6594
113	846	6580
114	851	6550
115	855	6522
116	862	6507
117	867	6483
118	872	6456
119	878	6440
120	883	6418
121	888	6393
122	894	6378
123	901	6365
124	906	6345
125	912	6326
126	917	6303
127	921	6279
128	927	6262
129	932	6240
130	937	6217
131	942	6198
132	948	6180
133	952	6156
134	957	6136
135	962	6114
136	967	6093
137	972	6072
138	977	6056
139	985	6054
140	991	6039
141	996	6021
142	1001	6004
143	1008	5992
144	1013	5977
145	1018	5957
146	1023	5941
147	1029	5924
148	1033	5904
149	1039	5892
150	1044	5875
151	1049	5855
152	1055	5843
153	1060	5825
154	1065	5806
155	1070	5792
156	1075	5775
157	1080	5757
158	1085	5741
159	1092	5737
160	1098	5724
161	1104	5712
162	1109	5697
163	1115	5685
164	1121	5676
165	1126	5660
166	1131	5643
167	1136	5630
168	1142	5620
169	1147	5604
170	1154	5594
171	1158	5579
172	1163	5563
173	1168	5548
174	1173	5532
175	1178	5516
176	1183	5501
177	1188	5489
178	1193	5475
179	1199	5462
180	1207	5461
181	1212	5450
182	1218	5438
183	1223	5425
184	1228	5412
185	1233	5397
186	1238	5384
187	1243	5369
188	1248	5358
189	1254	5347
190	1259	5333
191	1264	5323
192	1271	5314
193	1275	5300
194	1280	5286
195	1286	5277
196	1291	5263
197	1296	5250
198	1302	5242
199	1307	5230
200	1312	5217
201	1318	5207
202	1323	5195
203	1328	5184
204	1335	5177
205	1339	5164
206	1344	5150
207	1350	5143
208	1355	5130
209	1360	5117
210	1367	5114
211	1377	5119
212	1390	5137
213	1398	5137
214	1413	5159
215	1423	5165
216	1430	5161
217	1440	5168
218	1448	5167
219	1456	5165
220	1465	5165
221	1473	5165
222	1483	5167
223	1489	5158
224	1501	5171
225	1507	5161
226	1518	5171
227	1524	5160
228	1534	5165
229	1540	5158
230	1548	5156
231	1555	5150
232	1565	5152
233	1575	5157
234	1585	5162
235	1594	5161
236	1600	5152
237	1610	5156
238	1619	5155
239	1627	5154
240	1633	5143
241	1640	5139
242	1648	5134
243	1653	5122
244	1661	5119
245	1666	5108
246	1671	5094
247	1679	5091
248	1683	5078
249	1688	5066
250	1695	5058
251	1700	5046
252	1704	5033
253	1712	5028
254	1716	5015
255	1722	5004
256	1729	5000
257	1734	4988
258	1739	4977
259	1745	4967
260	1750	4955
261	1755	4945
262	1760	4934
263	1765	4922
264	1771	4912
265	1777	4906
266	1783	4895
267	1789	4887
268	1794	4877
269	1800	4868
270	1809	4866
271	1814	4856
272	1819	4844
273	1824	4834
274	1831	4828
275	1836	4818
276	1842	4809
277	1847	4798
278	1853	4789
279	1857	4777
280	1863	4766
281	1867	4755
282	1873	4746
283	1878	4735
284	1882	4723
285	1889	4716
286	1893	4704
287	1898	4693
288	1904	4685
289	1909	4675
290	1914	4664
291	1919	4654
292	1925	4645
293	1930	4635
294	1936	4628
295	1941	4618
296	1946	4607
297	1952	4598
298	1957	4589
299	1963	4580
300	1969	4574
301	1974	4564
302	1979	4553
303	1985	4544
304	1990	4535
305	1995	4524
306	2001	4517
307	2006	4507
308	2010	4496
309	2015	4486
310	2022	4479
311	2026	4469
312	2031	4459
313	2038	4453
314	2043	4443
315	2048	4435
316	2053	4424
317	2058	4414
318	2063	4404
319	2068	4395
320	2073	4385
321	2077	4375
322	2084	4368
323	2089	4359
324	2093	4348
325	2099	4340
326	2105	4332
327	2110	4323
328	2116	4316
329	2121	4307
330	2126	4297
331	2131	4289
332	2138	4283
333	2143	4273
334	2148	4264
335	2153	4255
336	2158	4245
337	2163	4238
338	2168	4228
339	2173	4218
340	2178	4209
341	2186	4207
342	2193	4200
343	2202	4199
344	2209	4194
345	2217	4192
346	2223	4185
347	2233	4183
348	2239	4178
349	2247	4174
350	2255	4170
351	2263	4166
352	2269	4160
353	2275	4151
354	2281	4145
355	2286	4137
356	2293	4131
357	2301	4127
358	2308	4121
359	2315	4116
360	2321	4109
361	2327	4102
362	2334	4096
363	2339	4087
364	2346	4082
365	2354	4079
366	2361	4072
367	2366	4063
368	2371	4054
369	2376	4047
370	2382	4038
371	2386	4029
372	2393	4023
373	2399	4015
374	2404	4007
375	2409	3998
376	2415	3990
377	2420	3982
378	2426	3975
379	2431	3966
380	2435	3957
381	2442	3951
382	2448	3945
383	2455	3938
384	2461	3932
385	2466	3923
386	2471	3914
387	2477	3907
388	2482	3898
389	2486	3889
390	2492	3882
391	2497	3873
392	2502	3864
393	2508	3857
394	2513	3849
395	2517	3840
396	2523	3833
397	2528	3824
398	2533	3815
399	2540	3810
400	2548	3806
401	2555	3801
402	2564	3798
403	2571	3792
404	2578	3787
405	2584	3780
406	2592	3776
407	2597	3768
408	2603	3761
409	2608	3753
410	2612	3744
411	2617	3736
412	2623	3729
413	2628	3720
414	2633	3711
415	2639	3704
416	2643	3696
417	2648	3687
418	2654	3680
419	2660	3674
420	2665	3665
421	2670	3658
422	2675	3649
423	2680	3641
424	2685	3633
425	2690	3625
426	2695	3616
427	2700	3609
428	2706	3602
429	2711	3594
430	2717	3587
431	2723	3580
432	2727	3571
433	2733	3564
434	2738	3556
435	2743	3548
436	2747	3540
437	2753	3533
438	2759	3526
439	2764	3517
440	2771	3513
441	2776	3505
442	2782	3499
443	2788	3491
444	2793	3484
445	2799	3477
446	2805	3470
447	2809	3462
448	2815	3454
449	2820	3447
450	2825	3439
451	2830	3432
452	2835	3424
453	2840	3416
454	2845	3407
455	2852	3403
456	2857	3394
457	2862	3386
458	2867	3380
459	2873	3373
460	2878	3365
461	2883	3358
462	2888	3350
463	2893	3342
464	2899	3335
465	2903	3327
466	2909	3320
467	2915	3314
468	2920	3306
469	2925	3298
470	2930	3291
471	2935	3283
472	2940	3275
473	2946	3269
474	2952	3263
475	2957	3255
476	2963	3249
477	2969	3243
478	2974	3235
479	2980	3229
480	2985	3221
481	2990	3213
482	2996	3206
483	3001	3199
484	3006	3192
485	3012	3186
486	3019	3180
487	3023	3172
488	3029	3165
489	3033	3157
490	3038	3150
491	3044	3143
492	3049	3135
493	3054	3128
494	3060	3121
495	3065	3114
